cafe_name,review_content,review_stars
Coffee Station,Wow. Great shakes. Fruits or suit. Very good price. Great taste and great service. Recommend. My second time here and will be more.,5
Creme Fraiche Cafe,"Great local coffee shop, especially if you want to go somewhere other than Aroma. Definitely worth a try!",5
Creme Fraiche Cafe,"a nice cafe in ramat aviv district. good coffee and exellent cakes and sandwiches. seating outside in the sun , nice gardening.",4
Casino San Remo,"We've been there on this Saturday morning and honestly I can't remember a place with worse service and less value for money breakfasts in TlV. To be explicit, I recived my eggs breakfast after all of the table finished his, and didn't receive my espresso at all. In addition prices for breakfast were expensive (54 Nis without juice or coffee)...
More ",1
Casino San Remo,"I was so disappointed that all I wanted was to leave We came, two couples an a Friday morning for a casual breakfast I cannot express the disappointment Expensive Mediocre food Terrible service Stay away",1
Casino San Remo,Nice bar with a great burger and very good music. We founded the bar by accident. And we were lucky. It was just the what we searched for.,5
Casino San Remo,This place has a great atmosphere. Its located on a little piazza with a fountain and it serves yummy food and drinks.,5
Casino San Remo,"Poor food, high prices with BAD service. Let's start - nice place and good music. May I say even nice atmosphere. I ordered breakfast with avocado as the main ingredient. Meanwhile my wife ordered and served with a Mosley which was well. I have waited until she finished already the Mosley and then I was served with my avocado and...
More ",1
Casino San Remo,I saw this place in a hipsteresque blog and it raved about their coffee so I hunted them down. Turns out they have a great lunch menu. And a great vibe. And great coffee! I had the falafel and craft beer surrounded by energetic staff and fellow-patrons. Go check it out for a relaxed lunch experience!,5
Casino San Remo,"We heard good things about this place on top of seeing it all over facebook ads however we were expecting more. The servers weren't so friendly. I got the calamari salad and my boyfriend got the hamburger. My calamari was cooked on the grill but by the time it got to me it wasn't hot which makes me think it...
More ",3
Casino San Remo,"Came here with a couple of friends and must have spent a good few hours ordering food and wine. Along with service, the atmosphere was great. Really nice place to just sit, chill, and binge! My only issue was the food prices. The food is good, tasty, and very well presented. The price though was a bit extreme. The fish...
More ",4
Casino San Remo,"Casino San Remo is is neither a casino nor in San Remo. Placed on a lovely corner in Jaffa, the buildings, the dishes and the people around are diverse in a pleasant way. We loved the Beat-it Lemonade served in a jar with fresh mint leaves tucked in like flowers. We had a breakfast on a Friday morning, a wonderful...
More ",5
Casino San Remo,"It use to be one of our favorites in Tel Aviv. How disappointing it was to come back after a while and founding blend food, sloppy service and high price. We won't come again...",2
Casino San Remo,,1
Casino San Remo,,1
Casino San Remo,,5
Casino San Remo,,5
Casino San Remo,,1
Casino San Remo,,5
Casino San Remo,,3
Casino San Remo,,4
Casino San Remo,,5
Casino San Remo,,2
Max Brenner Rothchild,It is a very cool chocolate experience . my kids love the chocolates and some are even Kosher so we took out for the kids . a very cool place to spend time at,4
Max Brenner Rothchild,"This is a restaurant famous for chocolate dishes, but I was there for a lunch time gathering with friends. The staff were friendly and obliging and the food tasty and enjoyable. For me, it was value for money.",4
Max Brenner Rothchild,Came here with my wife and mom for a hot drink and really enjoyed it. We sat outside and were entertained by the people walking along the Rothschild Boulevard. We ordered one normal hot chocolate (21.00 NIS) and one with whipped cream (25.00 NIS). Both were very tasty. Service was good and the toilets were cleanish.,4
Max Brenner Rothchild,"This was an AWFUL dining experience. I waited 45 minutes just to get coffee. When I finally did receive it, it was cold. Then when I received my meal (a sandwich), an hour after walking in the door, it only came with half of the ingredients listed on the menu. When I said something to the manager, she was very...
More ",1
Max Brenner Rothchild,"Ordered the chocolate sufle with ice cream chocolate sauce and the white chocolate creme de cassis cocktail - both incredible, I just couldn't finish it all. Way toooo much chocolate!!!",5
Max Brenner Rothchild,"Best dessert spot in Tel Aviv if you like chocolate. If you like chocolate, you must at least try out Max Brenner once. The Italian drinking chocolate is amazing ! Try the chocolate mess as well. The waffles are very popular as well. Cool atmosphere and pretty good service. Since this started in Israel, a true Israeli experience! Gets crowed...
More ",5
Max Brenner Rothchild,whether one wants just to drink a good espresso or cappucino or buy some chocolate specialties for oneself or as a present here is a good location for doing both there are some Max Brenner coffees at other places in tel aviv such as Sardona,4
Max Brenner Rothchild,"Worth coming for the desserts alone! Nice trendy restaurant in a busy location, with parking right outside. Good selection of mains but the desserts are mindblowing.",4
Max Brenner Rothchild,We met with friends in the evening in the restaurant. We loved the great variety of drinks and food with chocolate. Everything we tasted was delicious. They were astonished that not everybody in the party ordered something with chocolate. However the wine they offered was very good. The atmosphere was great and we enjoyed our stay there very much.,5
Max Brenner Rothchild,"Most of the people that comes here are families, teenagers and couples that celebrate birthdays. The coffee is and desserts are delicious. The regular food is not worth coming to.",3
Max Brenner Rothchild,I have been with a friend for the first time I didn't expect to tast such a good chocolate We ordered hot chocolate and waffle for both They where very tasty Service was good and friendly Very good atmosphere If you didn't try you have to A place that stays in mind,5
Max Brenner Rothchild,"Went in on a whim not thinking the food would expect good. I expect the desert to be great and both were better than expected. They accommodated that I was in a rush, reasonably priced and in the middle of everything on Rothschild",4
Max Brenner Rothchild,"Went to Max Brenner twice, once for a milkshake, another time for dessert. Max Brenner has a wide selection of desserts, including milkshake, chocolate drinks and more. Service, like most people say, is not exactly that good, but I would come here for good desserts, although it is a little expensive.",5
Max Brenner Rothchild,"This place is a classic with terrible service. Get ready to be ignored by the staff multiple times. Chocolate beverages are fine, but you cannot find them in a more convenient environment elsewhere?",2
Max Brenner Rothchild,"If you like it sweet like chocolate this is the place for you. Try the Fondo, special milkshake and special drinks. Beware, the amount of sugar you about to consume. The rest of the food is nothing special.",4
Max Brenner Rothchild,"I went here to celebrate my friends birthday and was very disappointed. The service was awful. Our server kept disappearing. The food was also disappointing. I ordered the Market salad and asked to keep out the tomatoes since I'm allergic. The salad showed up with 90% cucumbers and the rest a little of corn beans and tuna and one little...
More ",2
Max Brenner Rothchild,"Do you want to hang out with friends and drink/eat the best chocolate, icecream in the world ? Then you should visit max brenner !!! The best chocolate bar I have ever visited.",5
Max Brenner Rothchild,"In a short words - good location, the food is good, nice place, quick, friendly, no mistake. Prices not bad. Yes, I will come again.",4
Max Brenner Rothchild,"I should have known better. Actually I did know better, so I'm not 100% sure why I'm writing a scathing review today... So, I'm going to keep this short and sweet... 1. Took forever to get waited on... over 15 minutes for someone to just say hello. 2. Everything we ordered was wrong the first time out... some things were...
More ",1
Max Brenner Rothchild,"No menu received. Waited for 20 minutes to get a coffee, absolutely no attention from the waiters, and the place wasn't even half full! Don't waste your money or your time.",1
Max Brenner Rothchild,"We really enjoyed our family dinner at Max Brenner. The food was wonderful. The menu has an extensive amount of choices, and there is something for every palate. You would assume this is a dessert place, but in fact they serve a wonderful selection of food. The service was friendly. My only regret would be that I didnt try any...
More ",4
Max Brenner Rothchild,The food was ok but the desert was excellent! Great scenery on Rothschild Ave and great place t meet friends and hang out.,5
Max Brenner Rothchild,"The staff is just unbelievable. We came in, my daughter and I for an afternoon of fun. We set and waited 20 min for someone to take an order. Its not that the place was full, it's empty. (4 tables are served, about 10 staff people standing and chatting) When we finally had our order taken, the attitude was unbelievable...
More ",1
Max Brenner Rothchild,"Max Brenner makes good chocolate. Then he packs tiny amounts in large tins and sells them for unforgivable prices. The food in the restaurants is likewise overpriced. We have come there, and enjoyed good ice cream and the like, for the sake of children and such. But this is not a gourmet place, and the business tactics they use are...
More ",2
Max Brenner Rothchild,This is good to meet with one friend or good to meet with your whole family! Nice location on rothschild. Normal food aswell as many desserts. Staff are friendly and attentive Desserts came out quickly and were tasty! Recommend.,4
Max Brenner Rothchild,Came here for a much needed sugar fix at about 1am on Shavuot. Was very nice and I really enjoyed the hot chocolate and hazelnut cigars. Yum!,4
Max Brenner Rothchild,Went here for dessert only - I had some ice cream with various chocolate items to dip in it and it was amazing! Would definitely have it again!,5
Max Brenner Rothchild,Location makes it easy for bringing s group together. Chocolate lovers' dream destination. Fun place for tourists to visit.,4
Max Brenner Rothchild,"We went here for a late night dessert what we don't regret. The menu was enormous and it was hard to choose between all the items. We ended up in ordering an item that was suitable for 3-4 people. Almost everything tasted good and the portion size was perfect. It was nice to be able to order an extra fondue...
More ",4
Max Brenner Rothchild,"In tel aviv celebrating a grandson's bar mitzvah, what better than to add Max Brenner and chocolate immersion to an already yummy list of restaurants and ice cream places (not to mention the shouk which is a must do, must eat.) Fortunately, chocoholics will find MB's dessert concoctions attractive and delicious. Unfortunately, not so much the food or ambiance. Located...
More ",3
Max Brenner Rothchild,"I have tried chocolate in differents parts of the wolrd, but i have never tried something as good and tasty as max brenner. it really blowe my Besides od haveing several dishes served with chocolate, like founde, chocolate pizza and desserts, it also has an excelent attention and yhe place is realy nicely and comfortable. 5 STARTS",5
Max Brenner Rothchild,"The desserts are very good, specially the crepes. Nevertheless service is very slow and unkind and the place could be cleaner.",3
Max Brenner Rothchild,"After we had dinner at Rothschild street we decided to get our sweet at Max brenner. Getting into the place we were seated in the middle on a not comfortable table although it was nearly empty. No body got us the menu and just received it 10 minutes later after we asked for it. The order was taken after 20...
More ",1
Max Brenner Rothchild,"We ordered fondue for two. It is too much even for two. It costed 69 shekel which a bit expensive. In general, i can say that if you like chocolate very much, you might give it a try.",4
Max Brenner Rothchild,"We Visited Max Brenner on Rothchild for a nice drink in the afternoon. The place was busy but not packed and there where pleanty of staff milling about. I ordered a french milkshake adn my friend a vodka berry cocktaily thingy. both were quite poor. the milkshake was so rich but not tasty and i could not finnish it, and...
More ",1
Max Brenner Rothchild,"Serves great desserts. Small dishes, the only thing worth the money in terms of size is the Belgian waffles with ice cream and beakers of chocolate.",5
Max Brenner Rothchild,"This is a nice looking place but the food, value and service were less than mediocre deserving 2 stars. I had the chocolate fudge brownie(not brownies)which consisted of one small supposedly fudge brownie that didn't taste fudgie with bland chocolate syrup and bad whipped cream. I had to tell the server, who spoke poor english several times I was doing...
More ",2
Max Brenner Rothchild,"Stopped by today looking for chocolate gifts and really impressed by decor, vibe and gift choices. Lovely and lively place and amazing location.",4
Max Brenner Rothchild,A bit pricey but nothing exists like it in Israel or in the World. Forget the calorie counting.... enjoy it and live!,5
Max Brenner Rothchild,"The best chocolate house in Israel. I didnt like the sweet dishes, but LOVED the chocolate boxes.. Very romantic and tasty",4
Max Brenner Rothchild,"lovely place,good location-busting with life and sounds.great music ,lots of chocolate choice and surprise -some good Asian dishes-my friend really liked teriyaki chicken and my fish and chips was as good as in London!Had a big reservation-got a membership card for free and immediate bonus-nice cup of hot chocolate!Friendly,attentive stuff.",4
Max Brenner Rothchild,"enticed in by my wife and son by the lure of the chocolate. To my surprise the food was really tasty and I was full before the desert was ordered. The chocolate fondue was great, we really enjoyed the experience. Recommend it.",4
Max Brenner Rothchild,"I drank the worst cup of chocolate ever in this place. It's called Italian chocolate, but Israeli sugar would be a better description. There was a hint of chocolate behind the sugar, but if you want a cup of good hot chocolate on a winter's day, stay clear of this place",1
Max Brenner Rothchild,"We had a breakfast at night in the Ramat Hakhayal branch in Tel Aviv. The place did not change a bit since we last visited him half a decade ago. The floor is rather crooked, the seats are totally worn and the entire place has a 2000's vibe. We ordered a breakfast for a couple, which consisted with an 2...
More ",3
Max Brenner Rothchild,Lovely! Wish i have this back home. Drinking chocolate out hug mug is so warm and cozy. The chocolate looks good and well packaged as gifts.,5
Max Brenner Rothchild,"As pervious reviewers have mentioned, the service here is awful. The food is mediocre and definitely not worth the hassle. Staff are slow, inattentive and gave us the impression that we were bothering them.. not a feeling you want to have when you're out with friends. The food: chocolate dishes in max brenner are all the same wherever you go...
More ",1
Max Brenner Rothchild,"This place deserves the highest place in the category of the worst service. Visited this place number of times, each time the service was bad, but today it was even worse. It seems that there is some kind of competition for a bad service in this restaurant. It took 35 minutes for 2 crepes! The service team is very unpleasant...
More ",1
Max Brenner Rothchild,I had a very interesting chocolate dessert/meal here. They really try to present it in a very modern way and the taste did not lag behind.,5
Max Brenner Rothchild,Awesome experience w family. The portion were very big. Every dish i tried was better than the one before. I also tried different coctails and they were amazing.,5
Max Brenner Rothchild,"The hot chocolate here was as good as Angelina's in Paris. We also shared a waffle with ice cream. It was OK and I've had better. So if you are a chocoholic, this is a great place to jump in and pig out.",5
Max Brenner Rothchild,"Amazing shakes and desserts! Great chocolate experience. Lovely place, with great atmosphere and great service. Highly recommended!",5
Max Brenner Rothchild,"Nowadays, most of the restaurants, bars, and coffee shops in Tel Aviv offer better, and more interesting, desserts than Max Brenner, which is a little bit sad... It's still a great place to eat for a chocolate fanatic though!",4
Max Brenner Rothchild,"As a chocolate lover Max Brenner is my favorite resturant. I have never ordered from the regular menu but I tasted almost every meal from the sweet menu. I highly recommend the bannana latte frozen drink, the sharing dish which contains a little version of different desserts and fondue, and the crepes. There isn't a dietetic dessert dish on the...
More ",4
Max Brenner Rothchild,Chocolate for dinner - every child's dream come true - and here that's what you can get. There are plenty of regular entrees to choose with fantastic chocolate options for dessert All very tasty too.,5
Max Brenner Rothchild,I was delighted to enjoy one of the best chocolate fondants I tried in my life there. the selection of desserts is really impressive!!! super tasty! but the service is pretty slow there,5
Max Brenner Rothchild,"I came with my kids and we had a late business lunch, which was great value - 50/60 shekels each got us first courses, special cold drinks, yummy main courses including huge mutant schnitzels, and a very lovely dessert. But we had to use a lot of muscle to saw those schnitzels apart, and the waiters kept running past so...
More ",3
Max Brenner Rothchild,"I have to tell that I've never been to that place before and I have nothing to compare. I found out about this brand only here - in Tel Aviv. A wide choice of different sweets: white, dark, milk chocolate, caramel, ice cream and much much more, big menu. But they also have a main courses. Good breakfast options. Nice...
More ",5
Max Brenner Rothchild,"This place isn't only about having some fantastic chocolate desserts.......though if that's your excuse, just go there! The rest of the menu enables you to have a nice meal at a nice price. But be warned, save yourself for those fab desserts!",5
Max Brenner Rothchild,"We came here a month ago after enjoying the one in Sydney so much. We had a white chocolate crepe and a hug mug hot chocolate. The crepe tasted amazing but glad I shared it as you can definitely feel the calories and it is a massive chocolate overload but that's why you go there. The hug mug was yummy...
More ",4
Max Brenner Rothchild,We wanted to come to the home of Max Brennar in Israel and compare it to the ones in Melbourne. We ordered the dark hot chocolate and was disappointed by the lack of chocolate taste and creaminess. Would not come here again.,2
Max Brenner Rothchild,"If youcant get enough of chocolate, come here! You may get an overdose of chocolate:))) But that is ok cuz everything is so delicious. The atmosphere is pretty romantic.",5
Max Brenner Rothchild,"It was my first time in this store/restaurant (already been to the Tel Aviv port and the NY stores). Just like the others stores, a perfect experience, with a big portion, fullfiling all our chocolate desire. This is a can't miss place, wherever you find one of their stores. You can also buy chocolate boxes as a gift for someone...
More ",5
Max Brenner Rothchild,"If you want to overdose on chocolate drinks and desserts, there's no better place to place to go in my estimation than Max Brenner. A complete menu is dedicated to them and my choices were delicious. Service was cheerful and efficient. I didn't have a meal there but I saw gargantuan dishes being served from their lunchtime business menu, and...
More ",5
Max Brenner Rothchild,"This is one place I could visit every day! I love their sweets, drinks and design! It is really a special experience, with everything so good, the waffles, cake, milkshakes, ice cream choices or chocolate!",5
Max Brenner Rothchild,"We visited this great restaurant/chocolate shop a few times on our honeymoon because we loved the chocolate based drinks in particular. The food is good too, with large big portions though! Would love to go back just to try more of the chocolate based desserts & drinks on the menu!",5
Max Brenner Rothchild,To tell the truth if I didn't find the recommendations to visit this cafe I would ignore it. I tasted hot white chocolate with marshmallow. It's too sweet and reminds me hot sweet milk. My son tasted milk chocolate. Not bad. But I can't say it was extremely delicious. Nothing special.,4
Max Brenner Rothchild,We ate the fish and chips which were light and airy - very good. We then devoured the desserts - yum!,4
Max Brenner Rothchild,"I was craving for Belgian waffles and what I had was a huge amount of ice cream and some chocolate souce on something that I would not call waffles. I'm not sure I can find ""Belgian waffles"" with those prices anywhere. This place is overrated and very expensive.",2
Max Brenner Rothchild,"Because this place has Great chocolate, we had a great waitress - she was sweet and helpful! But the atmosphere is just weird - ranges from a first date fell to teenager to juvenile to lost suburbans...The lotus chocolate drink I had was awesome, we came only for dessert and hot 2 wonderful winter drinks in the rain. Wish it...
More ",5
Max Brenner Rothchild,Brilliant chocolate. Ignore the prices. Great hangout for kids of all ages. Really high quality chocolate,4
Max Brenner Rothchild,"the food was good and everything. but the SERVICE SUCKS. it was so so bad. there was a problem with someone credit card, we tried with an other one and the machine didn't accept it. so we tried with an other one. and it doesn't work too. and they still didn't accept they had a problem and treates us so...
More ",2
Max Brenner Rothchild,"If you don't like chocolate you have nothing to eat in this restaurant, but it is heaven for people ho love chocolate!",5
Max Brenner Rothchild,"This place is an icon in israel- known as the best place to have choclate or any desert. Plus- it is located at Rotchild street- one of the exciting streets in Tel Aviv. Our deserts were very good, BUT, THE SERVICE WAS BAD. We've been waiting for more than 30 minutes for our dishes and instead of apology we got...
More ",3
Max Brenner Rothchild,"Went there on two occasions. On the first one we asked for a table and were showed to one. After having sat down another waiter came and shooed us away from that table to another one in the middle of the doorway. Not so nice! We had something small which did not taste much. On next occasion we got a...
More ",3
Max Brenner Rothchild,"I work opposite this restaurant so this place should have been one of my regular haunts. It seems they have one of the best deals around with a starter , a mint drink and a dessert to accompany the main dish. But every time I try them ( it happens once every six months after I've managed to forget the...
More ",2
Max Brenner Rothchild,I went to Max Brenner in Tel Aviv 5 days ago for breakfast with a friend - waited for a waiter to come to the table for 15 mins - asked again and again and ended up leaving.,1
Max Brenner Rothchild,I am a vegan... For me chocolate is a very rare delight.... They are the number one place to visit for sweetthooth people and aspecialy for the vegan amongst you.... Its called a chocolate sigar... Words can not describe it properly,5
Max Brenner Rothchild,"Visiting Max Brenner is always a fun experience. The whole restaurant smells like chocolate, and looks like a chocolate dream. Surprisingly, their meals are also very good but the deserts are something else. The menu is so outrageous and varied which makes it a lot of fun. Every meal is a delicious experience. The main problem with Max Brenner is...
More ",4
Max Brenner Rothchild,"Its not worth eating at this restaurant, just pop in for coffee and dessert. The mixed platter with all the desserts is worth sharing, and is a meal in itself",3
Max Brenner Rothchild,"I normally avoid multi-location restaurants, preferring to patronize mom and pop restaurants. Max Brenner is worth the exception. Attentive wait staff-fast to greet, knowledgable and ready to make recommendations, excellent quality food-try the Chocolate Mess. Nice patio, with umbrellas and large, comfy seats so you can enjoy your dessert while people watch.",4
Max Brenner Rothchild,"We didnt eat dinner here - the starters and main choices looked pretty ordinary - but did come back for dessert. In fact we took a taxi half way across the city to try it. The mexican hot choclolate had pleasantly strong kick whilst not being too sweet (my wifes choice). I opted for the more decadent milky brownie: a...
More ",4
Max Brenner Rothchild,"Fantastic ! A dessert like no other. And ontop of that served with a smile, humor and kindness. Just the best chocolate experience ever !",5
Max Brenner Rothchild,"I have been to a few of the other branches , food was delicious service was lovely . However this does not apply to this specific branch . I have visited this branch a number of times hoping that the bad service was a one (or two) off thing . But on every single visit , I was proven wrong...
More ",1
Max Brenner Rothchild,"I had never been to a Max Brenner before but was lucky enough to find myself in the Tel Aviv restaurant. The service was good, very quick and the staff were very friendly and most importantly the coffees we ordered were delicious. I totally recommend a visit.",5
Max Brenner Rothchild,"We went with a group of 10, waited one hour to place the order, and waited 45 more minutes for food to be brought out. The waitress was rude when we complained. Half of the order was forgotten, and served another 30 minutes later. Very disappointed at service in Tel Aviv location of Max Brenner.",1
Max Brenner Rothchild,"We went with our tour group of 13 people for dinner, and were not at all pleased. We explained when we arrived that we had another event to attend after dinner; however, there didn't seem to be any effort made to speed up the service. Most people ordered dessert, but only those who had ordered milkshakes got theirs. Since we...
More ",1
Max Brenner Rothchild,"My family has eaten at the Max Brenner's in Philadelphia as well at the location on Rothschild in Tel Aviv. On our last visit we went to the the one at the Port in Tel Aviv since we wanted to explore the area around the Port. The service was much better and more attentive than either of the other Max...
More ",3
Max Brenner Rothchild,"I've been to several other branches of Max Brenner world wide... The Israeli ones in Tel Aviv and Herzliya are both the worst of practically any other chocolatier I've visited anywhere. Service was awful, food was of low quality, salads were not fresh and dishes and spoons were pretty dirty. The place was very noisy, people had to shout because...
More ",1
Max Brenner Rothchild,"During my holidays in New York in 2013, I discovered Max Brenner and it became one of my favorite places. I'm a big fan of chocolate, so it felt like paradise, but I also loved the kobe beef burger. In 2014, I visited Tel Aviv and I had no idea that there was a Max Brenner there, so it was...
More ",1
Max Brenner Rothchild,"We have been to Max Brenner several times, on this trip and on previous ones. The chocolate itself is good, but what makes Max Brenner different from everywhere else is the large number of interesting ways that they use it, ranging from waffles (my favorite) to rich hot chocolate drinks to ""chocolate pizza"", which I still have not yet tried....
More ",4
Max Brenner Rothchild,"This is the place where you eat chocolate, drink chocolate and then top it with another chocolate! It is worth going at least once - an experience you will remember for a long time. Perfect for a date or a girlie gathering.",5
Max Brenner Rothchild,"This restaurant catered for everything- from savoury food to chocolate in every way imaginable (there was even chocolate pizza!). The sweet treats are divine and numerous, as are the cocktails. a better place to go for something sweet!",4
Max Brenner Rothchild,"I've eaten in Max Brenner restaurants before, but this may be the last time. The service was terrible, it took 15 minutes to get a glass of cold water on a hot day. The food was delicious, until we noticed how the tables were cleaned between clients. A small wet cloth was used to brush the food onto the floor,...
More ",1
Max Brenner Rothchild,"Well, the dishes are very small. When you finish you still feel that you want another dish. The sweet menu is great and tasty but the sweet dishes are very small. When we visited half of the kids menu wasnt availble. My suggestion go there only if yoy want to eat sweet.",2
Max Brenner Rothchild,"It's chocolate heaven, and it's just what the doctor ordered for a late night snack. The sheer number of options is almost daunting, but we're glad they haven't pared down the menu because it's all good. For first-timers, try the ""sharing"" option, which includes a bit of a tasting menu of some of the best options. The chocolate souffle is...
More ",5
Max Brenner Rothchild,"If you want a true chocolate experience, Max Brenner is the place to be! Dim lights, nice music, entertaining menu, chocolate, etc... Creates a very intimate romantic atmosphere. It is truly a chocolate lovers experience!",4
Max Brenner Rothchild,"We went to eat at Max Brenner because it was Saturday night and we wanted something simple. My wife had the Salmon and I had the pasta. Both were fine, nothing special but nothing wrong either. The desert which we shared was a chocoholics delight, not to sweet but excellent. The chocolate milkshake was also just wonderful and not to...
More ",4
Max Brenner Rothchild,The staple for any break up or even a late night sweet tooth craving. Max Brener dishes up the best in deserts from chocolate fondue to milkshakes. This place has something for everyone.,4
Max Brenner Rothchild,"I was very excited to come to Max Brenner as I had heard great reviews from the restaurant based in America. The menu is quite expensive, however the portions you get are very big so I do recommend sharing. The food I had was extremely nice. They forgot to serve me any marshmallows and after I had asked for them,...
More ",2
Max Brenner Rothchild,"If you are prepared to let go of your diet and hard-to-keep calorie count, indulge in one of the chocolate drinks, cakes, tarts or other combinations at Max Brenner. Even though the salads, sandwiches and hot meals are also very good, I forgo these just to have space for the chocolate invasion into my humble, resisting body. There are several...
More ",5
Max Brenner Rothchild,"Great lunch deals, very nice service and good food! Great location by the Tel Aviv port, would visit again for a lunch deal.",4
Max Brenner Rothchild,"Understaffed by nice kids, therefore very slow unsynchronized service. You also get sugar poisoning. Excellent place for obese people who want to get fatter.",2
Max Brenner Rothchild,"I'm surprised we didn't starve to death before the food came. Great sounding desserts but they were melted before they were served. Too bad, seemed like a nice place.",2
Max Brenner Rothchild,Surprisingly good if limited mains but you are there for the chocolate which doesn't disappoint. May cater for the US market but Europeans won't be disappointed.,4
Max Brenner Rothchild,"This place is an Israeli invention, making it unique in that aspect, they have 'regualr' food but their niche is chocolate. Get the Banan Caramel Waffle - they're great. Go for the Milky Max cookies - for a choclaty rush! A number of locations in TLV including the port and Rotschild boulevard.",3
Max Brenner Rothchild,"All branches very clean and tidy. We were a branch of Herzliya. On a weekend there is always a line of least fifteen minutes during peak hours also forty minutes. If you come to eat sandwich or salad ... it's not the right place for you. Come to this place when you want a sweet ... much sweeter .... sweetest....
More ",4
Max Brenner Rothchild,"I have been here a few times with my husband, never ate a meal there but have ate many of the deserts. We usually share one that has many small versions of the rest. All extremely tasty. The milkshakes are out of this world. Great place, staff, and chocolate.",5
Max Brenner Rothchild,"If you've already been to the Max Brenners in NY, then the one in Tel Aviv is equivalent. Same menus and same decoration. We went there for a snack in the afternoon (chocolate fondue with fresh fruits was amazing). Not a must see, but a nice place to go.",4
Max Brenner Rothchild,Great coffee and of course deserts . We purchased gift wrapped goodies for friends who invited us to their homes for dinner.,5
Max Brenner Rothchild,"Great food. Opened 24/7, so you can have breakfast all day and all night long! I especially love their fresh-out-of-the-oven buns, super yummy and you can get as many refills as you want.",4
Max Brenner Rothchild,"Definitely a place you need to go to if you like chocolate. Don't bother going for your whole meal unless you just want a sandwich. Even then, it's to great. I'd go elsewhere for mains and to Max or desert. Don't bother buying in the shop as you can buy most of it duty free in the airport. The staff...
More ",3
Max Brenner Rothchild,We had desserts only which were delicious but the service was not attentive even though we mentioned it was my birthday,3
Max Brenner Rothchild,"Although this is a chocolate bar, we had lunch here. Lunch menu is great and the portions large enough for splitting so that you have room for those incredible chocolate creations. I was pleasantly surprised to see Max Brenner Bar inside the Forum Shops at Caesars Palace in Las Vegas and also New York has a big Max Brenner Shop...
More ",5
Max Brenner Rothchild,"We went for a desert break in the middle of a hot afternoon of walking around Tel Aviv and it hit the spot perfectly. I had a mini ice cream bar with chocolate dipping sauce and chocolate bits and almonds to dip it in. My wife had a chocolate truffle blended with ice in an ""Alice"" mug (one which commands...
More ",5
Max Brenner Rothchild,about the best chocolate maker here in Israel I would stay there forever . Any dream of chocolate addict,4
Max Brenner Rothchild,We loved this restaurant as we got to eat bread after a week. The sandwiches were great and the chocolate dishes were to die for.,4
Max Brenner Rothchild,"Had dessert here last night. A ""must do"" in Tel Aviv, as it's a cool place with a ton of chocolate options. Prices are a little high, but the results are delicious and the atmosphere is Irael-chic.",5
Max Brenner Rothchild,"The much lauded menu promised luscious chocolate-based food and drinks. The drinks were tepid and arrived 30 minutes after ordering, but then we had to endure another 25 minutes before the food arrived. The desserts were frankly too rich for my taste although my daughters enjoyed the fondue once they lit the tea lights that served as 'warmers' for the...
More ",1
